date,earning_growth
2019-03-31,0.164
2018-12-31,0.205
2017-12-31,0.162
2016-12-31,0.093
2015-12-31,-0.154
2014-12-31,0.021
2013-12-31,0.158
2012-12-31,-0.005
2011-12-31,0.124
2010-12-31,0.518
2009-12-31,2.425
2008-12-31,-0.775
2007-12-31,-0.188
2006-12-31,0.167
2005-12-31,0.193
2004-12-31,0.201
2003-12-31,0.767
2002-12-31,0.118
2001-12-31,-0.506
2000-12-31,0.038
1999-12-31,0.277
1998-12-31,-0.051
1997-12-31,0.026
1996-12-31,0.141
1995-12-31,0.110
1994-12-31,0.398
1993-12-31,0.147
1992-12-31,0.195
1991-12-31,-0.252
